#00010,Legislators,0,"Management responsibilities"
#00018,"Senior managers - public and private sector",0,"Management responsibilities"
#10010,"Financial managers",0,"Management responsibilities"
#10011,"Human resources managers",0,"Management responsibilities"
#10012,"Purchasing managers",0,"Management responsibilities"
#10019,"Other administrative services managers",0,"Management responsibilities"
#10020,"Insurance, real estate and financial brokerage managers",0,"Management responsibilities"
#10021,"Banking, credit and other investment managers",0,"Management responsibilities"
#10022,"Advertising, marketing and public relations managers",0,"Management responsibilities"
#10029,"Other business services managers",0,"Management responsibilities"
#10030,"Telecommunication carriers managers",0,"Management responsibilities"
#11100,"Financial auditors and accountants",1,"Completion of a university degree (bachelor's, master's, or doctorate); or
Previous experience and expertise in subject matter knowledge from a related occupation found in TEER category 2 (when applicable)."
#11101,"Financial and investment analysts",1,"Completion of a university degree (bachelor's, master's, or doctorate); or
Previous experience and expertise in subject matter knowledge from a related occupation found in TEER category 2 (when applicable)."
#11102,"Financial advisors",1,"Completion of a university degree (bachelor's, master's, or doctorate); or
Previous experience and expertise in subject matter knowledge from a related occupation found in TEER category 2 (when applicable)."
#11103,"Securities agents, investment dealers and brokers",1,"Completion of a university degree (bachelor's, master's, or doctorate); or
Previous experience and expertise in subject matter knowledge from a related occupation found in TEER category 2 (when applicable)."
#11109,"Other financial officers",1,"Completion of a university degree (bachelor's, master's, or doctorate); or
Previous experience and expertise in subject matter knowledge from a related occupation found in TEER category 2 (when applicable)."
#11200,"Human resources professionals",1,"Completion of a university degree (bachelor's, master's, or doctorate); or
Previous experience and expertise in subject matter knowledge from a related occupation found in TEER category 2 (when applicable)."
#11201,"Professional occupations in business management consulting",1,"Completion of a university degree (bachelor's, master's, or doctorate); or
Previous experience and expertise in subject matter knowledge from a related occupation found in TEER category 2 (when applicable)."
#11202,"Professional occupations in advertising, marketing and public relations",1,"Completion of a university degree (bachelor's, master's, or doctorate); or
Previous experience and expertise in subject matter knowledge from a related occupation found in TEER category 2 (when applicable)."
#12010,"Supervisors, general office and administrative support workers",2,"Completion of a post-secondary education program of two to three years at community college, institute of technology, or CÉGEP; or
Completion of an apprenticeship training program of two to five years; or
Occupations with supervisory or significant safety (e.g. police officers and firefighters) responsibilities; or
Several years of experience in a related occupation from TEER category 3 (when applicable)."
#12011,"Supervisors, finance and insurance office workers",2,"Completion of a post-secondary education program of two to three years at community college, institute of technology, or CÉGEP; or
Completion of an apprenticeship training program of two to five years; or
Occupations with supervisory or significant safety (e.g. police officers and firefighters) responsibilities; or
Several years of experience in a related occupation from TEER category 3 (when applicable)."
#12012,"Supervisors, library, correspondence and related information workers",2,"Completion of a post-secondary education program of two to three years at community college, institute of technology, or CÉGEP; or
Completion of an apprenticeship training program of two to five years; or
Occupations with supervisory or significant safety (e.g. police officers and firefighters) responsibilities; or
Several years of experience in a related occupation from TEER category 3 (when applicable)."
#12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",2,"Completion of a post-secondary education program of two to three years at community college, institute of technology, or CÉGEP; or
Completion of an apprenticeship training program of two to five years; or
Occupations with supervisory or significant safety (e.g. police officers and firefighters) responsibilities; or
Several years of experience in a related occupation from TEER category 3 (when applicable)."
#12100,"Executive assistants",2,"Completion of a post-secondary education program of two to three years at community college, institute of technology, or CÉGEP; or
Completion of an apprenticeship training program of two to five years; or
Occupations with supervisory or significant safety (e.g. police officers and firefighters) responsibilities; or
Several years of experience in a related occupation from TEER category 3 (when applicable)."
#12101,"Human resources and recruitment officers",2,"Completion of a post-secondary education program of two to three years at community college, institute of technology, or CÉGEP; or
Completion of an apprenticeship training program of two to five years; or
Occupations with supervisory or significant safety (e.g. police officers and firefighters) responsibilities; or
Several years of experience in a related occupation from TEER category 3 (when applicable)."
#12102,"Procurement and purchasing agents and officers",2,"Completion of a post-secondary education program of two to three years at community college, institute of technology, or CÉGEP; or
Completion of an apprenticeship training program of two to five years; or
Occupations with supervisory or significant safety (e.g. police officers and firefighters) responsibilities; or
Several years of experience in a related occupation from TEER category 3 (when applicable)."
#12103,"Conference and event planners",2,"Completion of a post-secondary education program of two to three years at community college, institute of technology, or CÉGEP; or
Completion of an apprenticeship training program of two to five years; or
Occupations with supervisory or significant safety (e.g. police officers and firefighters) responsibilities; or
Several years of experience in a related occupation from TEER category 3 (when applicable)."
#12104,"Employment insurance and revenue officers",2,"Completion of a post-secondary education program of two to three years at community college, institute of technology, or CÉGEP; or
Completion of an apprenticeship training program of two to five years; or
Occupations with supervisory or significant safety (e.g. police officers and firefighters) responsibilities; or
Several years of experience in a related occupation from TEER category 3 (when applicable)."
#12110,"Court reporters, medical transcriptionists and related occupations",2,"Completion of a post-secondary education program of two to three years at community college, institute of technology, or CÉGEP; or
Completion of an apprenticeship training program of two to five years; or
Occupations with supervisory or significant safety (e.g. police officers and firefighters) responsibilities; or
Several years of experience in a related occupation from TEER category 3 (when applicable)."
#12111,"Health information management occupations",2,"Completion of a post-secondary education program of two to three years at community college, institute of technology, or CÉGEP; or
Completion of an apprenticeship training program of two to five years; or
Occupations with supervisory or significant safety (e.g. police officers and firefighters) responsibilities; or
Several years of experience in a related occupation from TEER category 3 (when applicable)."
#12112,"Records management technicians",2,"Completion of a post-secondary education program of two to three years at community college, institute of technology, or CÉGEP; or
