NOC 2021 Code,Occupation Title,Occupation Summary
00010,Legislators,"Legislators participate in the activities of a federal, provincial, territorial or local government legislative body or executive council, band council or school board as elected or appointed members."
00018,Senior managers - public and private sector,"Senior managers in the public sector oversee operations in government departments and work with their middle managers to develop goals and policies according to legislation. Senior managers in the private sector work in industries such as telecommunications, finance, insurance, real estate, data processing and business services. They work with their middle managers to develop goals and policies and sometimes work with a board of directors."
10010,Financial managers,"Financial managers plan, organize, direct, control and evaluate the operation of financial and accounting departments. They develop and implement the financial policies and systems of establishments. Financial managers establish performance standards and prepare various financial reports for senior management. They are employed in financial and accounting departments in companies throughout the public and private sectors and in government."
10011,Human resources managers,"Human resources managers plan, organize, direct, control and evaluate the operations of human resources and personnel departments, and develop and implement policies, programs and procedures regarding human resource planning, recruitment, collective bargaining, training and development, occupation classification and pay and benefit administration. They represent management and participate actively on various joint committees to maintain ongoing relations between management and employees. They are employed throughout the private and public sectors."
10012,Purchasing managers,"Purchasing managers plan, organize, direct, control and evaluate the activities of a purchasing department and develop and implement the purchasing policies of a business or institution. They are employed throughout the public and private sectors."
10019,Other administrative services managers,"Other administrative services managers plan, organize, direct, control and evaluate departments responsible for corporate governance and regulatory compliance, records management, security services, admissions and other administrative services. Also included in this unit group are managers responsible for departments involved in two or more of the following activities: finance, human resources, purchasing or administrative services. Managers in this unit group are employed throughout the public and private sectors."
10020,"Insurance, real estate and financial brokerage managers","Insurance, real estate and financial brokerage managers plan, organize, direct, control and evaluate the activities of departments or establishments that provide insurance, mortgage, real estate and investment services. They are generally responsible for business development and must ensure that their group reaches performance levels related to established objectives. They are employed by insurance companies, real estate firms, stockbrokers, investment dealers, mortgage brokers and security and commodity exchanges."
10021,"Banking, credit and other investment managers","Banking, credit and other investment managers plan, organize, direct, control and evaluate the activities of financial establishments or operational departments within such establishments, or credit departments in industrial and commercial establishments. They oversee business development and manage overall performance in accordance with established strategic directions and policies. Banking managers are employed by banks, trust companies and credit unions. Credit managers are employed by credit departments in department stores, utility companies, car dealerships, insurance companies or other industrial or commercial organizations. Other investment managers are employed by credit card companies, consumer loan companies, mutual fund investment firms, mortgage investment companies or other financial establishments concerned with extending loans and financing and investments."
10022,"Advertising, marketing and public relations managers","Advertising, marketing, public relations and e-business managers plan, organize, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial and e-business advertising, marketing and public relations. They are employed by commercial and industrial establishments, government departments, and advertising, marketing and public relations firms or consulting businesses."
10029,Other business services managers,"Other business services managers plan, organize, direct, control and evaluate the operations of establishments that provide services to business, and ensure the quality of those services and client satisfaction. They work in fields such as management consulting, market research, personnel and payroll services, contact centre services and security services."
